Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	PATO:0001598	oboInOwl:hasExactSynonym	protruding
WARN	duplicate_label_synonym	PATO:0040047	oboInOwl:hasExactSynonym	fragmented
WARN	missing_definition	BFO:0000050	IAO:0000115	
WARN	missing_definition	BFO:0000051	IAO:0000115	
WARN	missing_definition	CL:0000000	IAO:0000115	
WARN	missing_definition	IAO:0000115	IAO:0000115	
WARN	missing_definition	IAO:0100001	IAO:0000115	
WARN	missing_definition	PATO:0000068	IAO:0000115	
WARN	missing_definition	PATO:0001492	IAO:0000115	
WARN	missing_definition	PATO:0001493	IAO:0000115	
WARN	missing_definition	PATO:0001494	IAO:0000115	
WARN	missing_definition	PATO:0001760	IAO:0000115	
WARN	missing_definition	PATO:0001761	IAO:0000115	
WARN	missing_definition	PATO:0001762	IAO:0000115	
WARN	missing_definition	PATO:0001763	IAO:0000115	
WARN	missing_definition	PATO:0001767	IAO:0000115	
WARN	missing_definition	PATO:0002016	IAO:0000115	
WARN	missing_definition	PATO:0002017	IAO:0000115	
WARN	missing_definition	PATO:0002018	IAO:0000115	
WARN	missing_definition	PATO:0002062	IAO:0000115	
WARN	missing_definition	PATO:0002142	IAO:0000115	
WARN	missing_definition	PATO:0002143	IAO:0000115	
WARN	missing_definition	PATO:0002267	IAO:0000115	
WARN	missing_definition	PATO:0002290	IAO:0000115	
WARN	missing_definition	PATO:0002321	IAO:0000115	
WARN	missing_definition	PATO:0002322	IAO:0000115	
WARN	missing_definition	RO:0002604	IAO:0000115	
WARN	missing_definition	oboInOwl:SubsetProperty	IAO:0000115	
WARN	missing_definition	oboInOwl:consider	IAO:0000115	
WARN	missing_definition	oboInOwl:hasAlternativeId	IAO:0000115	
WARN	missing_definition	oboInOwl:hasBroadSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasDbXref	IAO:0000115	
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasNarrowSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBOFormatVersion	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115	
WARN	missing_definition	oboInOwl:hasRelatedSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:inSubset	IAO:0000115	
WARN	missing_definition	oboInOwl:shorthand	IAO:0000115	
WARN	missing_label	CL:0000000	rdfs:label	
INFO	lowercase_definition	PATO:0002401	IAO:0000115	characterised by an unidentifiable pattern.
INFO	lowercase_definition	PATO:0015026	IAO:0000115	quality, state, or degree of being stable.
INFO	missing_superclass	CL:0000000	rdfs:subClassOf	
INFO	missing_superclass	PATO:0000001	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001304	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001307	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001308	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001583	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001584	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001587	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001588	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001612	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001613	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001957	rdfs:subClassOf	
INFO	missing_superclass	PATO:0001958	rdfs:subClassOf	
INFO	missing_superclass	PATO:0010004	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015010	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015011	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015014	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015015	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015022	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015023	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015024	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015025	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015027	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015028	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015032	rdfs:subClassOf	
INFO	missing_superclass	PATO:0015033	rdfs:subClassOf	
INFO	missing_superclass	PATO:0045074	rdfs:subClassOf	
INFO	missing_superclass	PATO:0045075	rdfs:subClassOf	
INFO	missing_superclass	PATO:0045076	rdfs:subClassOf	
INFO	missing_superclass	PATO:0045077	rdfs:subClassOf	
INFO	missing_superclass	PATO:0045078	rdfs:subClassOf	
INFO	missing_superclass	PATO:0055001	rdfs:subClassOf	
INFO	missing_superclass	PATO:0055002	rdfs:subClassOf	
